"Project","Category","FileName","Type","SizeKB","LastModified","FullPath"
"12SB Hunters Landing","Maker's Line","Hunters Landing Pay App_05_$2,132,419.31_7.25.22.pdf",".pdf","22621.3","2024-05-16 15:09","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Hunters Landing Pay App_05_$2,132,419.31_7.25.22.pdf"
"12SB Hunters Landing","Maker's Line","Hunters Landing Pay App_03_$2,227,640.72_05.25.22 (1).pdf",".pdf","11781.3","2024-05-16 15:10","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Hunters Landing Pay App_03_$2,227,640.72_05.25.22 (1).pdf"
"12SB Hunters Landing","Maker's Line","Hunters Landing Pay App_02_$666,379.73_04.25.22 (1).pdf",".pdf","12293.5","2024-05-16 15:10","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Hunters Landing Pay App_02_$666,379.73_04.25.22 (1).pdf"
"12SB Hunters Landing","Maker's Line","Hunters Landing Pay App _1_$469,795.50_02.25.22.pdf",".pdf","1753.7","2024-05-16 16:04","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Hunters Landing Pay App _1_$469,795.50_02.25.22.pdf"
"12SB Hunters Landing","Maker's Line\Draw 13","Hunters Landing DRAW REQUEST 13 03.25.23.pdf",".pdf","103.7","2023-07-27 09:12","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Draw 13\Hunters Landing DRAW REQUEST 13 03.25.23.pdf"
"12SB Hunters Landing","Maker's Line\Draw 13","Hunters Landing Pay App 13_152,247.48_03.25.23.pdf",".pdf","7000.9","2023-07-27 09:12","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Draw 13\Hunters Landing Pay App 13_152,247.48_03.25.23.pdf"
"12SB Hunters Landing","Maker's Line\Draw 13","(old) Hunters Landing Pay App 13_413,027.08_03.25.23 R1.pdf",".pdf","15834.4","2023-07-27 09:13","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Draw 13\(old) Hunters Landing Pay App 13_413,027.08_03.25.23 R1.pdf"
"12SB Hunters Landing","Maker's Line\Draw 13","(old) Hunters Landing Pay App 13_460,513.90_03.25.23.pdf",".pdf","17010.4","2023-07-27 09:13","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Draw 13\(old) Hunters Landing Pay App 13_460,513.90_03.25.23.pdf"
"12SB Hunters Landing","Maker's Line\Draw 13","(old) Hunters_Landing_DRAW_REQUEST_13 R1.pdf",".pdf","190.9","2023-07-27 09:14","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Draw 13\(old) Hunters_Landing_DRAW_REQUEST_13 R1.pdf"
"12SB Hunters Landing","Maker's Line\Draw 13","(old) Hunters_Landing_DRAW_REQUEST_13 R1.xlsx",".xlsx","85.4","2023-10-20 10:42","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Maker's Line\Draw 13\(old) Hunters_Landing_DRAW_REQUEST_13 R1.xlsx"
